name,percentgdpeduc,gini,deathsperthoulivebirths,inflationrate,migrantsperthousand,unemploymentrate,mtonsco2emissions,btuperperson,childrenperwoman,percentgdpmilitary,alcliterspercapita
Latvia,6,34.5,4.85,3.28,-5.19,7.6,8450000,86645000,1.54,2.1,12.9
Mali,4.4,36.1,60.64,3.93,-3.08,7.72,5679000,4396000,5.54,3.5,0.6
Tajikistan,5.9,34,32.33,7.7,-1.03,7.75,7643000,27651000,2.45,1.2,0.85
Lithuania,4,35.3,3.63,4.68,-4.54,7.9,14503000,101651000,1.61,2.5,11.93
France,5.5,32.4,3.15,1.64,1.06,8.06,338425000,151053000,2.03,1.9,11.44
Dominican Republic,4.6,39.6,21.18,8.24,-2.68,8.5,26808000,39016000,2.21,0.7,5.56
Honduras,6.4,48.2,15.08,4.48,-1.34,8.51,8523000,19800000,2.01,1.6,2.73
Bolivia,9.8,43.6,22.28,0.74,-0.98,8.51,17786000,27094000,2.33,1.4,2.98
Angola,2.4,51.3,58.86,25.75,-0.19,8.53,19362000,11693000,5.83,1.4,5.84
Sweden,7.2,28.8,2.3,2.16,3.6,8.66,48144000,210882000,1.67,1.5,7.1
Croatia,5.5,28.9,8.74,2.55,-0.5,8.68,16752000,89733000,1.45,2,9.64
Ukraine,5.4,26.1,7.33,9.36,-0.26,8.88,185686000,82571000,1.56,4,5.69
Kyrgyzstan,6.2,29,25.66,11.91,-4.87,9.1,7880000,35059000,2.5,1.7,4.02
Chile,5.6,44.9,6.55,4.52,0.33,9.13,88333000,81953000,1.76,2,7.8
Jamaica,6,35,11.17,5.86,-7.7,9.18,10002000,49700000,2.06,1.4,3.46
Egypt,2.5,31.5,17.7,5.21,-0.31,9.33,235137000,40063000,2.88,1.3,0.14
Nigeria,0.5,35.1,56.68,16.95,-0.21,9.79,104494000,8466000,4.62,0.7,4.49
Italy,4.3,35.2,3.16,1.87,3.02,9.83,332041000,112606000,1.22,1.55,7.65
Uruguay,4.6,39.7,8.31,7.75,-0.88,10.45,6450000,66909000,1.76,2.3,5.42
Georgia,3.6,34.5,14.77,9.57,0.06,10.66,10299000,63286000,1.75,1.7,7.45
Argentina,5,42.3,9.35,25.7,-0.08,10.9,193205000,79083000,2.18,0.8,7.95
"Gambia, The",2.8,35.9,37.19,7.37,-0.04,11.21,606000,3547000,3.79,0.8,2.67
Mauritania,1.9,32.6,50.99,3.57,-0.72,11.46,4041000,13558000,3.53,2.5,0
Iran,3.6,40.9,14.84,43.39,-0.3,11.46,646038000,145540000,1.93,2.3,0.02
Morocco,6.8,39.5,19.2,1.4,-1.74,11.47,60200000,24590000,2.29,4.5,0.51
Serbia,3.6,36.2,4.81,4.09,0,11.81,47735000,98195000,1.46,2.4,7.45
Albania,3.1,30.8,10.82,2.04,-3.23,11.82,3794000,38442000,1.54,1.6,4.4
Panama,3.9,49.2,16.44,1.63,3.42,12.09,25263000,98946000,2.39,1.2,6.54
Algeria,7,27.6,19.72,7.23,-0.82,12.7,151633000,61433000,2.51,5.6,0.59
Zambia,3.7,57.1,37.11,22.02,0.24,13.03,6798000,11595000,4.56,1.3,3.82
Afghanistan,2.9,29.4,104.89,2.3,-0.1,13.28,7893000,3227000,4.62,3.3,0.01
Turkey (Turkiye),3.4,41.9,19.35,19.6,-1.54,13.39,391792000,79126000,1.93,1.2,1.18
Iraq,4.7,29.5,19.62,6.04,-0.83,14.19,143479000,63174000,3.25,3.7,0.16
Colombia,4.9,54.2,11.65,3.5,-1.58,14.34,81007000,34703000,1.95,3,4.09
Brazil,6,48.9,13.31,8.3,-0.19,14.4,456670000,59444000,1.8,1.3,6.12
Lebanon,1.7,31.8,7.04,154.76,-0.94,14.49,25838000,53528000,1.71,3.2,1.14
Spain,4.6,34.7,2.47,3.09,4.35,14.73,280624000,122673000,1.27,1,10.72
Greece,4.4,33.1,3.55,1.22,1,14.8,70163000,108022000,1.4,3.8,6.33
Cabo Verde,7.6,42.4,23.53,1.86,-0.57,15.42,1002000,26539000,2.13,0.5,4.7
Guyana,4.5,44.6,22.15,5.03,-7.42,16.42,2743000,48608000,2.06,1,5.11
Tunisia,7.3,32.8,11.87,5.71,-1.33,16.82,23692000,35620000,2,3,1.51
Costa Rica,6.7,49.3,8.39,1.73,0.77,17.95,8115000,44899000,1.86,0.7,3.07
Jordan,3.2,33.7,13.9,1.35,-11.08,19.25,23470000,39331000,2.96,5,0.25
Armenia,2.8,25.2,12.18,7.18,-5.36,20.9,6354000,53019000,1.65,4.4,3.77
Namibia,9.6,59.1,29.42,3.62,0,21.68,3831000,29811000,2.98,3,2.38
Gabon,3.2,38,28.56,1.18,3.67,22.26,2651000,26786000,3.31,1.7,6.47
"Congo, Republic of the",4.5,48.9,47.93,1.72,0,23.01,4523000,16156000,4.36,2.5,5.74
Lesotho,8.7,44.9,48.44,6.05,-4.55,24.6,736000,7823000,2.92,1.5,3.56
Botswana,8.7,53.3,25.18,7.24,2.81,24.72,5965000,34095000,2.39,3,5.98
Eswatini,5,54.6,39.63,2.6,-6.16,25.76,1224000,19371000,2.44,1.7,7.68
Djibouti,3.6,41.6,46.89,1.78,4.59,28.39,610000,8869000,2.15,3.5,0.21
South Africa,6.6,63,25.87,4.61,0,33.56,470358000,98474000,2.18,0.8,7.21
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
